year,month,day,pna_index_cdas
2018,12,12,0.903603732585907
2018,12,13,0.9467605352401733
2018,12,14,1.162932276725769
2018,12,15,0.8373123407363892
2018,12,16,0.6967880725860596
2018,12,17,0.7840597629547119
2018,12,18,0.6076048016548157
2018,12,19,0.6890814900398254
2018,12,20,0.8945680856704712
2018,12,21,0.6759850382804871
2018,12,22,0.34206488728523254
2018,12,23,0.1323450356721878
2018,12,24,0.17380428314208984
2018,12,25,0.4024885594844818
2018,12,26,0.33396095037460327
2018,12,27,0.34387385845184326
2018,12,28,0.47974592447280884
2018,12,29,0.6167072057723999
2018,12,30,0.9769631624221802
2018,12,31,1.177398920059204
2019,1,1,1.1275821924209595
2019,1,2,1.1821403503417969
2019,1,3,1.083930492401123
2019,1,4,0.7358540296554565
2019,1,5,0.36092203855514526
2019,1,6,0.08245223015546799
2019,1,7,-0.06454536318778992
2019,1,8,-0.016565930098295212
2019,1,9,0.34766408801078796
2019,1,10,-2.050614595413208
2019,1,11,0.6860082149505615
2019,1,12,0.7198199033737183
2019,1,13,0.5630686283111572
2019,1,14,0.36474382877349854
2019,1,15,0.15709258615970612
2019,1,16,0.006581905763596296
2019,1,17,-0.07854785770177841
2019,1,18,0.12740474939346313
2019,1,19,0.48093941807746887
2019,1,20,0.5101007223129272
2019,1,21,0.38710179924964905
2019,1,22,0.6509589552879333
2019,1,23,0.7608428001403809
2019,1,24,0.896508514881134
2019,1,25,1.0088642835617065
2019,1,26,0.7695198059082031
2019,1,27,0.3572612702846527
2019,1,28,0.19139716029167175
2019,1,29,0.24541230499744415
2019,1,30,0.16233877837657928
2019,1,31,0.10326484590768814
2019,2,1,0.07927128672599792
2019,2,2,-0.15387488901615143
2019,2,3,-0.48786619305610657
2019,2,4,-0.5855479836463928
2019,2,5,-0.4625023603439331
2019,2,6,-0.49085482954978943
2019,2,7,-0.6362637877464294
2019,2,8,-0.7896338701248169
2019,2,9,-0.9728179574012756
2019,2,10,-1.2094111442565918
2019,2,11,-1.2263250350952148
2019,2,12,-1.0286235809326172
2019,2,13,-0.5866377949714661
2019,2,14,-0.20384067296981812
2019,2,15,0.024532951414585114
2019,2,16,0.06059693172574043
2019,2,17,-0.050383854657411575
2019,2,18,-0.3422047793865204
2019,2,19,-0.701312243938446
2019,2,20,-0.6627669930458069
2019,2,21,-0.2705734074115753
2019,2,22,0.12615202367305756
2019,2,23,0.3371768593788147
2019,2,24,0.2730618715286255
2019,2,25,0.22907768189907074
2019,2,26,0.2122955173254013
2019,2,27,0.013572223484516144
2019,2,28,-0.17267771065235138
2019,3,1,-0.7730809450149536
2019,3,2,-0.553185760974884
2019,3,3,-0.7153635025024414
2019,3,4,-0.9508008360862732
2019,3,5,-0.8256394863128662
2019,3,6,-0.5905395150184631
2019,3,7,-0.3940553367137909
2019,3,8,-0.298689067363739
2019,3,9,-0.14856652915477753
2019,3,10,-0.018138831481337547
2019,3,11,-0.08391597121953964
2019,3,12,0.005870380438864231
2019,3,13,0.4362199008464813
2019,3,14,0.7817450761795044
2019,3,15,0.7687466740608215
2019,3,16,0.7871951460838318
2019,3,17,0.7875306010246277
2019,3,18,0.910064160823822
2019,3,19,0.9755893349647522
2019,3,20,0.9874199032783508
2019,3,21,1.1870393753051758
2019,3,22,1.2950077056884766
2019,3,23,1.1326329708099365
2019,3,24,0.43554845452308655
2019,3,25,0.0627719983458519
2019,3,26,0.07404254376888275
2019,3,27,0.19877327978610992
2019,3,28,0.16689519584178925
2019,3,29,-0.04241232946515083
2019,3,30,-0.11269514262676239
2019,3,31,-0.0073707145638763905
2019,4,1,-0.32459041476249695
2019,4,2,-0.709246814250946
2019,4,3,-0.3554314076900482
2019,4,4,0.12696048617362976
2019,4,5,0.37043312191963196
2019,4,6,0.3656415641307831
2019,4,7,0.34681257605552673
2019,4,8,0.2282966524362564
2019,4,9,0.1937982141971588
2019,4,10,0.2664760947227478
2019,4,11,0.41494300961494446
2019,4,12,0.26881322264671326
2019,4,13,-0.1364825814962387
2019,4,14,-0.29861146211624146
2019,4,15,-0.369350790977478
2019,4,16,-0.4071682095527649
2019,4,17,-0.3361437916755676
2019,4,18,-0.005017803516238928
2019,4,19,0.09758292883634567
2019,4,20,0.07793330401182175
2019,4,21,0.01815733127295971
2019,4,22,0.10477359592914581
2019,4,23,0.041478872299194336
2019,4,24,-0.08567238599061966
2019,4,25,-0.32653436064720154
2019,4,26,-0.699016809463501
2019,4,27,-0.7730956673622131
2019,4,28,-0.7669773101806641
2019,4,29,-0.6758863925933838
2019,4,30,-0.41401275992393494
2019,5,1,-0.5274466276168823
2019,5,2,-0.7792004346847534
2019,5,3,-0.765887439250946
2019,5,4,-0.5409806966781616
2019,5,5,-0.22327280044555664
2019,5,6,0.14295276999473572
2019,5,7,0.3210853338241577
2019,5,8,0.6864374279975891
2019,5,9,0.6610379219055176
2019,5,10,0.5883529186248779
2019,5,11,0.3426494002342224
2019,5,12,0.27780213952064514
2019,5,13,0.20506805181503296
2019,5,14,0.05268719047307968
2019,5,15,0.08247289806604385
2019,5,16,0.17838068306446075
2019,5,17,-0.05814007297158241
2019,5,18,-0.2722301781177521
2019,5,19,-0.525680661201477
2019,5,20,-0.3727632462978363
2019,5,21,0.050919059664011
2019,5,22,-0.22023284435272217
2019,5,23,-1.1673301458358765
2019,5,24,-1.337978482246399
2019,5,25,-1.1340206861495972
2019,5,26,-1.0087498426437378
2019,5,27,-0.6317272782325745
2019,5,28,-0.23040206730365753
2019,5,29,-0.042144790291786194
2019,5,30,0.3178369700908661
2019,5,31,0.4716774821281433
2019,6,1,0.3772220313549042
2019,6,2,0.2668898403644562
2019,6,3,0.11048859357833862
2019,6,4,-0.1937861442565918
2019,6,5,-0.15265008807182312
2019,6,6,-0.19036296010017395
2019,6,7,-0.2761990427970886
2019,6,8,-0.6146717667579651
2019,6,9,-0.8615880608558655
2019,6,10,-0.4703758955001831
2019,6,11,-0.07461735606193542
2019,6,12,0.09052461385726929
2019,6,13,0.10305775701999664
2019,6,14,0.30966752767562866
2019,6,15,0.5328619480133057
2019,6,16,0.8038162589073181
2019,6,17,0.5283629298210144
2019,6,18,0.2227892428636551
2019,6,19,0.018064141273498535
2019,6,20,0.0797077864408493
2019,6,21,-0.4977705180644989
2019,6,22,-0.533592700958252
2019,6,23,-0.4383838176727295
2019,6,24,-0.6049296855926514
2019,6,25,-0.7614238858222961
2019,6,26,-0.32531726360321045
2019,6,27,0.49072757363319397
2019,6,28,0.7165943384170532
2019,6,29,0.3814035952091217
2019,6,30,-0.12887832522392273
2019,7,1,-0.6029882431030273
2019,7,2,-0.9592316746711731
2019,7,3,-1.3571070432662964
