,msl_row,msl_column,z_row,z_column
2005-07-01,1,3,0,3
2005-07-02,0,3,0,3
2005-07-03,0,4,0,2
2005-07-04,0,3,0,2
2005-07-05,0,0,0,4
2005-07-06,0,0,0,4
2005-07-07,1,1,0,4
2005-07-08,0,0,0,4
2005-07-09,0,0,0,4
2005-07-10,0,0,0,4
2005-07-11,3,0,1,4
2005-07-12,3,0,2,4
2005-07-13,3,2,2,4
2005-07-14,2,2,3,4
2005-07-15,1,2,3,4
2005-07-16,0,1,3,4
2005-07-17,0,0,2,4
2005-07-18,0,1,0,4
2005-07-19,0,3,0,3
2005-07-20,0,4,0,2
2005-07-21,0,4,0,1
2005-07-22,1,3,0,0
2005-07-23,2,3,0,0
2005-07-24,2,4,0,0
2005-07-25,2,4,1,0
2005-07-26,0,3,0,0
2005-07-27,0,2,0,1
2005-07-28,0,2,0,1
2005-07-29,0,3,0,2
2005-07-30,2,4,0,1
2005-07-31,2,4,0,1
2006-06-01,0,2,0,4
2006-06-02,0,2,0,4
2006-06-03,0,2,0,4
2006-06-04,0,2,0,4
2006-06-05,3,0,0,4
2006-06-06,3,1,1,4
2006-06-07,3,3,3,1
2006-06-08,2,4,3,0
2006-06-09,3,4,3,0
2006-06-10,3,3,3,0
2006-06-11,3,2,3,0
2006-06-12,3,2,3,0
2006-06-13,0,3,3,0
2006-06-14,0,4,2,0
2006-06-15,0,4,0,0
2006-06-16,0,4,0,0
2006-06-17,0,4,0,0
2006-06-18,0,2,0,0
2006-06-19,0,1,0,0
2006-06-20,0,0,0,1
2006-06-21,1,0,0,2
2006-06-22,0,0,0,2
2006-06-23,1,0,0,2
2006-06-24,3,0,0,1
2006-06-25,3,0,3,1
2006-06-26,3,0,3,3
2006-06-27,3,0,2,4
2006-06-28,3,0,2,4
2006-06-29,3,0,2,4
2006-06-30,3,0,1,4
2006-07-01,3,0,0,4
2006-07-02,3,1,0,3
2006-07-03,3,4,0,2
2006-07-04,3,4,1,1
2006-07-05,3,4,1,0
2006-07-06,2,4,0,0
2006-07-07,1,4,0,0
2006-07-08,2,4,2,0
2006-07-09,3,4,3,0
2006-07-10,0,4,2,0
2006-07-11,0,2,0,1
2006-07-12,0,0,0,2
2006-07-13,0,0,0,3
2006-07-14,1,0,0,4
2006-07-15,3,0,1,4
2006-07-16,3,0,2,4
2006-07-17,3,1,2,4
2006-07-18,3,2,1,3
2006-07-19,0,3,0,3
